employee_id,employee_name,department,training_course,completion_date,score,status
EMP0001,Christopher Frederick,Strategy & Digital Department,AML & Compliance Basics,2024-12-27,65,Completed
EMP0002,George Peters,Corporate Communications,Digital Transformation,2024-09-30,93,Completed
EMP0003,Renee Gutierrez,Life & Medical,Reinsurance Principles,2025-03-13,52,In Progress
EMP0004,Rachael Palmer,Engineering,Customer Experience Excellence,2024-12-06,82,Completed
EMP0005,Linda Ward,Reinsurance,Leadership & Communication,2024-11-18,95,Completed
EMP0006,David Lynn,Strategy & Digital Department,Leadership & Communication,2025-03-11,64,Completed
EMP0006,David Lynn,Strategy & Digital Department,Data Analytics for Business,2025-06-06,67,Completed
EMP0006,David Lynn,Strategy & Digital Department,Project Management Professional,2024-08-12,98,Completed
EMP0007,Leslie Perez,Legal Department,Cybersecurity Awareness,2025-01-30,67,Completed
EMP0007,Leslie Perez,Legal Department,Advanced Excel for Analysts,2024-11-27,98,Completed
EMP0007,Leslie Perez,Legal Department,Claims Management Essentials,2024-09-30,55,In Progress
EMP0008,Stacy Henderson,Director of Finance,Claims Management Essentials,2025-02-01,88,Completed
EMP0009,Brenda Freeman,Investor Relations,Digital Transformation,2025-04-01,84,Completed
EMP0010,Paula Hahn,Human Resources,Insurance Fraud Detection,2025-05-18,68,Completed
EMP0010,Paula Hahn,Human Resources,Regulatory Compliance,2025-06-26,89,Completed
EMP0011,Joseph Crawford,CFO Office,Customer Experience Excellence,2025-08-04,54,In Progress
EMP0011,Joseph Crawford,CFO Office,AML & Compliance Basics,2025-07-13,64,Completed
EMP0011,Joseph Crawford,CFO Office,Project Management Professional,2025-01-04,55,In Progress
EMP0012,Chad Suarez,Corporate Communications,Cybersecurity Awareness,2024-12-29,79,Completed
EMP0013,Isaac Gomez,Strategy & Digital Department,Advanced Excel for Analysts,2025-02-14,72,Completed
EMP0013,Isaac Gomez,Strategy & Digital Department,Customer Experience Excellence,2025-07-18,67,Completed
EMP0014,Mrs. Heather Walker,Risk Management,Insurance Fraud Detection,2025-06-16,90,Completed
EMP0014,Mrs. Heather Walker,Risk Management,Advanced Excel for Analysts,2025-05-09,96,Completed
EMP0014,Mrs. Heather Walker,Risk Management,Customer Experience Excellence,2024-10-31,79,Completed
